Image,PSNR (dB),SSIM,Accuracy (%),RMSE
6899.jpg,27.04,0.7359,85.39,11.34
6904.jpg,25.93,0.7458,85.81,12.89
6908.jpg,26.98,0.7412,86.83,11.42
691.jpg,25.81,0.6707,81.98,13.06
6917.jpg,29.98,0.8781,94.9,8.09
692.jpg,28.25,0.736,92.28,9.86
6924.jpg,25.59,0.7461,81.96,13.4
6926.jpg,30.41,0.7966,95.21,7.69
6927.jpg,29.45,0.8054,93.57,8.59
6929.jpg,30.16,0.821,95.26,7.91
6931.jpg,28.76,0.7769,91.41,9.3
6933.jpg,24.74,0.6903,78.36,14.77
6936.jpg,25.22,0.6928,79.91,13.98
6937.jpg,25.55,0.726,83.17,13.46
6941.jpg,28.76,0.8121,92.23,9.3
6944.jpg,24.31,0.6168,73.07,15.53
6945.jpg,26.78,0.7761,87.5,11.69
6946.jpg,28.44,0.8358,91.78,9.65
6951.jpg,27.58,0.7224,86.71,10.66
6958.jpg,25.89,0.7498,80.15,12.94
6967.jpg,23.62,0.6235,75.72,16.8
6972.jpg,26.04,0.6689,82.25,12.73
6988.jpg,26.24,0.7053,84.03,12.44
699.jpg,26.71,0.7718,86.73,11.78
6990.jpg,23.24,0.627,76.92,17.55
6998.jpg,29.24,0.7952,92.52,8.8
7000.jpg,26.82,0.7047,87.38,11.63
7019.jpg,25.76,0.7752,85.88,13.13
7024.jpg,26.51,0.7851,89.27,12.06
7026.jpg,27.28,0.779,88.03,11.03
7034.jpg,28.19,0.7732,89.6,9.93
704.jpg,29.53,0.8497,95.82,8.52
7053.jpg,26.49,0.8131,89.65,12.08
7067.jpg,23.28,0.5776,73.1,17.47
7077.jpg,25.99,0.5935,78.99,12.8
7088.jpg,27.67,0.7447,86.46,10.55
7090.jpg,26.79,0.7399,85.13,11.68
7091.jpg,29.24,0.768,92.43,8.81
7103.jpg,27.24,0.8014,87.87,11.07
7108.jpg,26.02,0.7003,84.91,12.75
7116.jpg,25.23,0.6542,80.91,13.96
7119.jpg,23.84,0.6496,78.2,16.4
7133.jpg,26.0,0.695,84.16,12.78
7137.jpg,27.9,0.751,87.28,10.27
7140.jpg,24.25,0.5791,75.94,15.63
7142.jpg,26.11,0.7445,87.24,12.62
7145.jpg,27.05,0.6918,84.07,11.33
7146.jpg,26.76,0.7215,86.5,11.71
7147.jpg,26.53,0.7082,84.82,12.02
7148.jpg,28.58,0.7677,91.28,9.49
7151.jpg,25.7,0.6569,78.38,13.23
7155.jpg,27.76,0.7637,87.77,10.44
716.jpg,32.32,0.8749,99.07,6.17
7167.jpg,25.84,0.7008,81.42,13.02
7178.jpg,27.92,0.8016,89.5,10.24
7184.jpg,23.43,0.719,75.66,17.19
7186.jpg,27.74,0.7798,87.83,10.46
7194.jpg,26.44,0.7144,87.35,12.15
7195.jpg,25.89,0.6891,82.16,12.94
7208.jpg,25.16,0.7374,81.9,14.07
7222.jpg,25.3,0.7693,91.25,13.86
7243.jpg,27.24,0.7608,87.11,11.08
7244.jpg,23.86,0.6939,79.73,16.35
7247.jpg,27.67,0.7376,86.32,10.54
7271.jpg,25.45,0.6558,79.9,13.61
7277.jpg,23.05,0.6419,75.03,17.94
7278.jpg,21.96,0.6693,75.95,20.35
7282.jpg,28.1,0.6177,91.82,10.03
7286.jpg,25.45,0.6596,79.4,13.62
7287.jpg,25.84,0.6864,79.42,13.01
7297.jpg,28.0,0.7303,88.41,10.15
7299.jpg,25.66,0.6611,85.49,13.29
730.jpg,24.65,0.6819,81.12,14.92
7303.jpg,25.34,0.7462,81.38,13.79
7310.jpg,25.25,0.804,89.8,13.93
7316.jpg,22.82,0.5535,70.71,18.43
7325.jpg,28.35,0.8046,91.09,9.75
7329.jpg,27.99,0.7736,91.11,10.16
7332.jpg,26.99,0.7152,84.79,11.41
7336.jpg,24.79,0.6892,78.1,14.69
7342.jpg,28.5,0.7599,89.67,9.58
7344.jpg,27.69,0.7503,88.11,10.52
7346.jpg,23.07,0.7115,87.14,17.9
7351.jpg,24.38,0.7838,82.65,15.4
7358.jpg,27.5,0.8104,89.13,10.75
7361.jpg,26.85,0.8133,93.16,11.59
7364.jpg,29.78,0.8494,94.94,8.27
7365.jpg,25.34,0.6429,77.7,13.78
7369.jpg,28.17,0.7432,90.8,9.95
7372.jpg,27.57,0.7447,88.29,10.67
7377.jpg,27.91,0.7447,87.48,10.26
7378.jpg,28.2,0.7624,91.41,9.92
7381.jpg,27.93,0.7373,88.4,10.24
7385.jpg,24.15,0.6191,76.57,15.81
7393.jpg,29.03,0.7985,91.93,9.01
7409.jpg,24.75,0.6838,76.45,14.76
7410.jpg,26.63,0.8691,94.53,11.88
7418.jpg,26.26,0.7301,86.47,12.4
7419.jpg,23.33,0.5591,72.24,17.38
7420.jpg,28.52,0.7694,92.49,9.56
7422.jpg,26.96,0.7422,86.66,11.44
7424.jpg,29.31,0.8975,96.12,8.74
743.jpg,26.37,0.748,84.39,12.24
7432.jpg,27.76,0.6474,89.54,10.44
7440.jpg,26.61,0.7922,88.66,11.92
7443.jpg,26.52,0.7176,86.32,12.04
7445.jpg,24.86,0.6719,79.48,14.58
7458.jpg,27.82,0.7186,88.77,10.37
746.jpg,29.3,0.8664,93.67,8.74
7468.jpg,25.18,0.7005,82.52,14.05
7469.jpg,24.77,0.6408,78.68,14.72
7472.jpg,27.75,0.8011,90.56,10.45
7489.jpg,27.76,0.728,90.28,10.43
7502.jpg,28.77,0.8125,95.36,9.29
7510.jpg,27.9,0.7939,89.01,10.26
7512.jpg,21.44,0.5884,64.8,21.6
7516.jpg,26.75,0.7317,84.35,11.72
7525.jpg,27.23,0.7519,88.85,11.09
753.jpg,25.55,0.6481,80.99,13.46
7530.jpg,29.27,0.8049,92.11,8.77
7536.jpg,26.96,0.7038,84.56,11.44
7538.jpg,26.47,0.7015,87.15,12.11
7539.jpg,26.78,0.6898,83.95,11.69
7548.jpg,29.64,0.8898,96.0,8.41
7549.jpg,28.64,0.8829,93.14,9.43
7565.jpg,24.65,0.711,78.91,14.93
7566.jpg,26.75,0.709,83.03,11.73
757.jpg,28.84,0.8011,90.46,9.21
7573.jpg,25.3,0.7273,79.37,13.85
7579.jpg,26.38,0.6385,85.16,12.24
7585.jpg,25.5,0.7193,83.88,13.55
7593.jpg,26.56,0.703,83.16,11.99
7597.jpg,27.13,0.7994,88.09,11.22
7600.jpg,27.2,0.702,84.92,11.13
7613.jpg,26.4,0.7294,83.41,12.21
7625.jpg,24.18,0.6471,75.05,15.76
7632.jpg,25.98,0.7365,83.99,12.82
7634.jpg,23.54,0.6549,76.96,16.97
7636.jpg,25.67,0.6656,83.19,13.27
7637.jpg,28.02,0.7985,92.3,10.12
7640.jpg,27.14,0.799,85.75,11.21
7645.jpg,27.1,0.7592,86.6,11.26
7646.jpg,28.22,0.8137,91.24,9.9
7650.jpg,27.9,0.7183,87.99,10.27
7659.jpg,28.93,0.6808,90.14,9.12
766.jpg,26.92,0.8285,94.04,11.49
7663.jpg,29.03,0.7358,92.58,9.01
7667.jpg,30.49,0.8309,95.63,7.62
7672.jpg,28.54,0.7988,93.39,9.54
7673.jpg,21.13,0.738,75.23,22.38
7674.jpg,29.27,0.8373,96.92,8.77
7677.jpg,28.99,0.7684,91.64,9.06
768.jpg,25.05,0.6828,81.96,14.26
7683.jpg,26.03,0.7054,81.44,12.74
7684.jpg,28.8,0.8122,91.64,9.26
7687.jpg,28.83,0.7944,90.51,9.23
7693.jpg,24.85,0.7485,84.77,14.59
7694.jpg,26.66,0.7373,86.73,11.85
7695.jpg,27.72,0.7558,89.13,10.48
7697.jpg,29.6,0.8185,94.03,8.45
7700.jpg,27.87,0.8016,89.93,10.31
7709.jpg,28.54,0.7598,89.72,9.54
771.jpg,29.55,0.7909,92.4,8.49
7710.jpg,23.37,0.7503,82.39,17.3
7716.jpg,25.87,0.7605,87.21,12.98
772.jpg,25.53,0.703,81.8,13.49
7720.jpg,26.1,0.8198,91.82,12.64
7721.jpg,27.93,0.7432,87.32,10.24
7727.jpg,23.4,0.5659,72.72,17.24
7731.jpg,24.87,0.6485,81.01,14.55
7735.jpg,28.09,0.7287,91.19,10.04
7742.jpg,26.59,0.7346,83.85,11.95
7744.jpg,26.51,0.7609,85.03,12.05
7748.jpg,26.46,0.6671,81.96,12.12
7754.jpg,27.84,0.7161,88.74,10.34
7772.jpg,27.72,0.7408,88.98,10.48
7773.jpg,30.94,0.739,98.18,7.24
7781.jpg,28.32,0.8163,92.55,9.78
7795.jpg,28.65,0.8102,90.06,9.42
7806.jpg,30.73,0.8166,96.3,7.41
7809.jpg,28.23,0.7746,90.23,9.88
7813.jpg,23.15,0.6931,78.0,17.75
782.jpg,24.82,0.693,80.7,14.64
7822.jpg,29.0,0.8348,93.56,9.05
7831.jpg,25.76,0.7536,88.32,13.13
7832.jpg,26.66,0.6712,82.05,11.85
785.jpg,27.7,0.795,88.96,10.51
7855.jpg,26.52,0.7867,86.92,12.04
7857.jpg,30.78,0.7847,96.87,7.37
7859.jpg,27.88,0.7186,86.7,10.29
786.jpg,26.75,0.6952,81.76,11.72
7860.jpg,24.64,0.7076,83.82,14.95
7863.jpg,27.45,0.7685,86.92,10.81
7864.jpg,27.35,0.7339,88.26,10.94
7869.jpg,26.92,0.7616,87.34,11.5
7878.jpg,28.48,0.8418,94.3,9.61
7882.jpg,27.03,0.7453,84.72,11.35
7886.jpg,27.75,0.7128,89.55,10.45
7892.jpg,28.01,0.8056,89.33,10.14
7893.jpg,28.22,0.8222,89.13,9.9
7897.jpg,28.14,0.7497,88.36,9.98
7905.jpg,23.76,0.6381,76.23,16.55
7919.jpg,29.03,0.7421,91.77,9.02
7933.jpg,29.27,0.8289,93.49,8.77
7934.jpg,27.71,0.7796,90.96,10.5
7945.jpg,28.63,0.8542,94.21,9.44
7946.jpg,24.63,0.7165,83.97,14.96
7952.jpg,30.2,0.8193,95.04,7.88
7955.jpg,31.55,0.888,98.38,6.75
7987.jpg,28.42,0.7748,89.3,9.68
7989.jpg,29.11,0.8076,93.15,8.94
7991.jpg,25.58,0.7688,83.98,13.42
7999.jpg,26.68,0.661,86.15,11.82
8006.jpg,32.89,0.8893,99.89,5.78
8010.jpg,27.37,0.7087,85.61,10.92
8018.jpg,30.9,0.8468,96.3,7.27
802.jpg,28.13,0.7723,89.37,10.0
8024.jpg,29.02,0.82,94.17,9.02
8027.jpg,25.56,0.6125,79.69,13.44
803.jpg,26.43,0.7984,88.06,12.17
805.jpg,27.77,0.6206,92.46,10.43
8050.jpg,27.56,0.7664,87.85,10.68
8062.jpg,27.04,0.7906,86.3,11.34
8074.jpg,28.0,0.8203,91.66,10.16
8076.jpg,25.79,0.7301,86.96,13.09
8079.jpg,26.3,0.7293,83.74,12.35
8084.jpg,26.97,0.7888,89.25,11.43
8085.jpg,28.24,0.6911,90.64,9.88
8088.jpg,28.67,0.8532,93.03,9.4
8094.jpg,25.17,0.6342,80.09,14.07
8098.jpg,25.34,0.6517,78.7,13.79
8099.jpg,24.32,0.7164,82.15,15.5
8106.jpg,29.78,0.8129,93.89,8.27
8110.jpg,26.94,0.8149,88.11,11.47
8115.jpg,24.74,0.7616,89.26,14.77
8116.jpg,27.96,0.7957,89.55,10.2
8118.jpg,28.23,0.8192,89.25,9.89
8126.jpg,29.08,0.8191,92.01,8.97
8129.jpg,28.43,0.7931,92.66,9.66
8137.jpg,30.61,0.8261,96.94,7.52
8138.jpg,27.3,0.8279,89.19,11.0
8149.jpg,30.03,0.7955,95.54,8.04
815.jpg,25.42,0.7208,82.03,13.67
8154.jpg,29.18,0.7823,91.42,8.86
816.jpg,28.07,0.8378,92.9,10.07
8165.jpg,27.89,0.6806,89.57,10.29
8166.jpg,24.28,0.6599,79.75,15.58
8169.jpg,30.69,0.8809,96.33,7.45
8190.jpg,26.35,0.7189,83.39,12.27
8191.jpg,28.85,0.8053,91.2,9.2
8198.jpg,24.2,0.6367,73.72,15.73
8201.jpg,26.67,0.7797,89.91,11.83
8205.jpg,27.51,0.7626,89.56,10.74
821.jpg,23.99,0.6573,80.58,16.11
8214.jpg,25.66,0.6761,80.21,13.29
8222.jpg,27.07,0.7208,83.77,11.3
8231.jpg,27.26,0.7454,88.31,11.05
8235.jpg,23.84,0.603,75.79,16.38
8239.jpg,31.52,0.8816,97.35,6.77
8243.jpg,29.37,0.7977,92.88,8.67
8261.jpg,26.03,0.7418,88.09,12.74
8265.jpg,24.56,0.7545,83.34,15.08
8267.jpg,27.59,0.7927,89.81,10.64
8268.jpg,25.73,0.7038,80.11,13.19
8271.jpg,27.56,0.7413,87.23,10.67
8279.jpg,21.72,0.5439,70.49,20.91
8282.jpg,21.87,0.7152,81.45,20.55
8283.jpg,24.16,0.6477,74.39,15.79
8287.jpg,27.01,0.7693,87.29,11.37
8288.jpg,26.67,0.6784,83.96,11.83
8290.jpg,28.32,0.746,89.68,9.79
8303.jpg,24.47,0.5665,75.35,15.24
8305.jpg,28.21,0.7747,88.8,9.91
8311.jpg,25.86,0.7056,83.77,12.98
8318.jpg,26.78,0.7629,89.51,11.68
8320.jpg,28.96,0.8428,93.85,9.09
8332.jpg,27.27,0.7814,87.21,11.04
8346.jpg,27.73,0.7477,88.1,10.48
8356.jpg,27.0,0.7424,86.68,11.39
836.jpg,26.86,0.7586,85.78,11.57
8370.jpg,24.72,0.7625,84.26,14.82
8379.jpg,29.62,0.8198,92.94,8.42
838.jpg,25.82,0.777,85.76,13.05
8380.jpg,27.98,0.7597,89.76,10.17
8382.jpg,27.49,0.7793,89.28,10.76
8384.jpg,26.83,0.7219,83.49,11.61
8394.jpg,26.2,0.7159,82.26,12.48
8398.jpg,25.26,0.7716,83.9,13.91
8405.jpg,24.53,0.629,74.76,15.14
8406.jpg,25.9,0.7112,79.61,12.93
841.jpg,27.77,0.7784,89.59,10.43
8414.jpg,28.53,0.7595,90.3,9.55
8416.jpg,27.36,0.8775,94.95,10.93
8419.jpg,27.76,0.779,89.8,10.44
8422.jpg,30.21,0.8042,94.94,7.87
844.jpg,27.03,0.7267,86.04,11.35
8440.jpg,29.06,0.8564,93.57,8.98
8443.jpg,29.54,0.7973,94.4,8.5
8445.jpg,30.39,0.8115,95.45,7.71
8448.jpg,23.9,0.7394,83.07,16.28
8452.jpg,25.89,0.7366,84.73,12.94
8456.jpg,26.02,0.6392,85.4,12.74
8457.jpg,25.29,0.6936,78.41,13.88
8461.jpg,24.45,0.7729,81.23,15.27
8466.jpg,28.56,0.8232,91.86,9.51
847.jpg,28.85,0.7679,90.32,9.2
8470.jpg,29.41,0.8087,95.94,8.63
8473.jpg,23.91,0.6045,76.2,16.27
848.jpg,25.26,0.7063,79.19,13.91
849.jpg,26.57,0.7652,88.06,11.96
8494.jpg,27.78,0.7445,87.85,10.42
850.jpg,28.27,0.8091,90.18,9.84
8510.jpg,26.92,0.6608,83.22,11.5
8522.jpg,27.49,0.7417,90.52,10.76
8531.jpg,28.63,0.794,90.53,9.44
8532.jpg,27.37,0.7978,88.31,10.92
8537.jpg,27.96,0.7536,89.25,10.2
8545.jpg,28.78,0.8198,90.49,9.28
8548.jpg,25.44,0.7057,80.36,13.62
8551.jpg,25.37,0.7564,83.67,13.75
8554.jpg,26.21,0.7386,87.37,12.47
8569.jpg,28.54,0.809,93.4,9.53
857.jpg,25.49,0.7225,82.31,13.56
8573.jpg,23.47,0.6496,76.27,17.11
860.jpg,31.07,0.9144,97.83,7.13
8608.jpg,26.04,0.7474,81.27,12.72
8612.jpg,27.1,0.7671,89.58,11.26
8616.jpg,26.45,0.6846,81.93,12.13
8619.jpg,23.55,0.5858,72.31,16.94
8624.jpg,26.66,0.7117,83.41,11.84
864.jpg,28.91,0.7863,94.62,9.14
8644.jpg,28.07,0.7714,89.52,10.07
8645.jpg,28.88,0.7871,91.65,9.18
8647.jpg,27.09,0.7051,84.66,11.27
865.jpg,28.83,0.7977,91.03,9.23
8650.jpg,27.33,0.7787,86.97,10.97
8654.jpg,24.23,0.6207,74.7,15.68
8656.jpg,25.28,0.6296,76.02,13.88
8674.jpg,27.15,0.6905,86.99,11.19
8692.jpg,29.13,0.8234,93.33,8.91
8699.jpg,25.68,0.6632,79.41,13.26
87.jpg,25.62,0.7169,86.12,13.36
8711.jpg,27.65,0.8009,88.81,10.57
8713.jpg,29.48,0.7989,94.95,8.56
8729.jpg,23.5,0.6774,77.14,17.04
873.jpg,26.22,0.7395,82.84,12.46
8738.jpg,24.63,0.668,74.38,14.96
8740.jpg,28.31,0.812,93.73,9.79
8742.jpg,28.99,0.8242,92.96,9.06
8750.jpg,24.71,0.6366,79.38,14.82
8754.jpg,27.49,0.7481,86.23,10.77
8762.jpg,27.97,0.779,88.97,10.19
8771.jpg,28.63,0.792,93.19,9.45
8775.jpg,26.72,0.7818,86.57,11.76
8782.jpg,25.33,0.6675,81.63,13.81
8784.jpg,27.53,0.7796,87.48,10.71
8785.jpg,23.46,0.6686,76.09,17.11
879.jpg,28.44,0.7966,92.47,9.64
8790.jpg,28.8,0.7795,89.95,9.26
8794.jpg,24.03,0.7007,82.05,16.04
88.jpg,29.76,0.7783,93.57,8.29
8807.jpg,28.7,0.8323,91.68,9.36
8810.jpg,30.09,0.8384,95.02,7.98
8811.jpg,26.67,0.7755,87.04,11.84
8828.jpg,26.14,0.7375,85.03,12.58
8829.jpg,28.5,0.8387,95.08,9.58
8832.jpg,28.04,0.8156,89.08,10.11
8834.jpg,26.18,0.7394,85.23,12.51
8844.jpg,29.18,0.8193,92.36,8.86
8850.jpg,29.5,0.8044,94.7,8.54
8855.jpg,29.33,0.7631,92.4,8.71
8857.jpg,23.53,0.7482,79.06,16.97
886.jpg,27.39,0.779,87.6,10.89
8860.jpg,24.99,0.7016,79.92,14.35
8869.jpg,29.17,0.8108,93.3,8.87
889.jpg,26.8,0.8161,91.04,11.65
8905.jpg,27.83,0.8165,90.18,10.35
8928.jpg,25.32,0.7549,84.65,13.81
8931.jpg,27.36,0.7653,87.85,10.93
8933.jpg,28.82,0.8303,92.57,9.24
8936.jpg,23.62,0.7396,82.08,16.82
8944.jpg,27.47,0.8826,94.27,10.8
8946.jpg,26.91,0.7659,86.84,11.5
8949.jpg,24.74,0.7034,80.05,14.77
8953.jpg,25.31,0.7725,88.05,13.84
8957.jpg,26.37,0.7873,88.45,12.24
897.jpg,28.13,0.7611,89.33,10.0
8970.jpg,26.89,0.7415,86.02,11.53
8971.jpg,28.42,0.7577,91.67,9.68
8973.jpg,26.58,0.708,83.88,11.95
8976.jpg,26.8,0.7266,83.51,11.66
8977.jpg,26.66,0.7472,84.09,11.84
8986.jpg,26.23,0.7288,85.31,12.45
8988.jpg,25.54,0.7338,83.48,13.47
8989.jpg,27.59,0.773,88.83,10.64
8997.jpg,27.05,0.7266,88.69,11.32
9013.jpg,25.26,0.6885,76.76,13.91
9018.jpg,27.96,0.7426,89.46,10.2
9019.jpg,25.63,0.7357,81.59,13.33
9023.jpg,25.63,0.6716,82.53,13.34
9028.jpg,31.76,0.8734,98.47,6.59
9029.jpg,26.54,0.6989,83.09,12.0
9033.jpg,27.72,0.8064,92.24,10.49
9036.jpg,27.76,0.8008,90.16,10.43
9038.jpg,29.78,0.8275,93.29,8.27
9042.jpg,23.91,0.5619,71.68,16.26
9043.jpg,25.19,0.7643,83.27,14.03
9053.jpg,27.39,0.7698,89.68,10.89
9067.jpg,27.1,0.6907,85.74,11.25
9069.jpg,29.66,0.7518,94.26,8.38
907.jpg,27.06,0.7251,84.19,11.32
9070.jpg,26.29,0.755,86.63,12.36
9087.jpg,27.32,0.771,86.63,10.97
9088.jpg,27.93,0.7437,89.15,10.23
909.jpg,26.25,0.7614,85.79,12.42
9091.jpg,26.28,0.6714,83.63,12.38
9094.jpg,24.38,0.6819,74.12,15.4
91.jpg,27.77,0.7805,88.14,10.42
911.jpg,24.76,0.6503,78.74,14.75
9112.jpg,26.75,0.792,87.58,11.72
9117.jpg,24.32,0.8007,84.97,15.5
9118.jpg,28.11,0.7842,89.01,10.03
9124.jpg,27.16,0.814,89.6,11.18
9127.jpg,26.89,0.7085,87.41,11.54
913.jpg,26.58,0.6529,82.58,11.96
9131.jpg,26.36,0.6597,81.25,12.26
9138.jpg,25.61,0.7073,84.27,13.37
9139.jpg,22.35,0.5699,63.66,19.45
9146.jpg,25.14,0.683,81.45,14.11
9152.jpg,27.91,0.6716,88.62,10.25
9157.jpg,27.41,0.717,84.61,10.86
9162.jpg,26.26,0.8011,89.54,12.4
9167.jpg,25.28,0.6797,82.37,13.88
9185.jpg,25.72,0.6437,79.64,13.19
9186.jpg,28.78,0.8241,91.06,9.28
9194.jpg,23.23,0.5733,72.48,17.59
92.jpg,28.34,0.7978,91.47,9.77
9202.jpg,30.16,0.8669,96.26,7.92
9204.jpg,26.16,0.6908,82.03,12.55
9206.jpg,28.22,0.7434,93.14,9.89
9207.jpg,26.94,0.7748,87.26,11.46
9210.jpg,24.09,0.6568,79.49,15.92
9211.jpg,27.11,0.7459,85.8,11.24
9214.jpg,21.75,0.6044,72.5,20.84
9217.jpg,25.57,0.6544,78.98,13.43
9224.jpg,25.84,0.7143,86.79,13.02
9229.jpg,26.49,0.7272,86.18,12.09
9233.jpg,27.38,0.7788,87.84,10.9
9234.jpg,30.1,0.8281,94.46,7.97
9239.jpg,24.64,0.7122,76.43,14.95
924.jpg,26.18,0.72,86.66,12.52
9247.jpg,26.67,0.7552,85.86,11.83
9248.jpg,28.21,0.7284,88.26,9.9
9252.jpg,24.29,0.6863,82.18,15.56
9259.jpg,29.61,0.8537,95.49,8.43
9260.jpg,28.43,0.8116,90.74,9.66
9263.jpg,27.15,0.7223,86.94,11.2
9264.jpg,29.29,0.8168,92.99,8.75
9277.jpg,22.9,0.7441,85.22,18.26
9283.jpg,21.63,0.609,68.03,21.14
9301.jpg,28.42,0.7973,92.7,9.68
9320.jpg,29.2,0.8341,93.73,8.84
9324.jpg,26.8,0.6671,86.17,11.65
9326.jpg,24.48,0.6536,78.68,15.22
9329.jpg,25.92,0.7599,86.66,12.9
9330.jpg,23.84,0.7186,77.29,16.38
9331.jpg,26.15,0.7675,87.92,12.56
9338.jpg,28.46,0.8306,92.56,9.63
935.jpg,27.78,0.87,94.23,10.41
9358.jpg,27.07,0.7044,88.08,11.3
9359.jpg,26.0,0.7096,83.69,12.78
9378.jpg,28.4,0.8374,92.36,9.7
9384.jpg,26.22,0.6701,82.55,12.47
9385.jpg,26.78,0.7469,88.45,11.69
9390.jpg,27.23,0.748,90.14,11.1
9391.jpg,25.48,0.7141,84.57,13.57
94.jpg,30.54,0.7916,96.8,7.58
9401.jpg,25.03,0.6153,75.78,14.29
9402.jpg,29.43,0.8739,95.47,8.61
9412.jpg,27.26,0.7927,91.83,11.06
9416.jpg,27.15,0.8115,90.04,11.2
942.jpg,29.2,0.8286,95.15,8.84
9428.jpg,27.07,0.6656,83.98,11.3
9429.jpg,27.24,0.6949,84.81,11.07
9445.jpg,27.49,0.7568,87.71,10.76
9446.jpg,26.88,0.7697,88.57,11.55
9448.jpg,28.91,0.8126,92.4,9.14
945.jpg,25.62,0.771,86.24,13.35
9451.jpg,27.69,0.7336,86.78,10.52
9455.jpg,23.83,0.5811,73.49,16.41
9456.jpg,26.55,0.7547,86.44,12.0
9466.jpg,29.18,0.772,92.51,8.87
9468.jpg,25.82,0.7807,87.1,13.04
9475.jpg,27.84,0.7911,89.37,10.34
9477.jpg,25.02,0.7125,78.8,14.3
948.jpg,27.22,0.7767,89.2,11.1
9485.jpg,24.71,0.6816,77.65,14.82
9487.jpg,27.97,0.7767,91.86,10.19
9488.jpg,26.9,0.6799,83.81,11.52
949.jpg,27.61,0.7452,85.62,10.61
9496.jpg,25.96,0.7654,88.12,12.84
9499.jpg,26.01,0.673,84.88,12.77
9509.jpg,27.83,0.772,91.3,10.35
9511.jpg,23.88,0.7239,81.97,16.32
9512.jpg,28.27,0.7834,90.65,9.84
9520.jpg,27.42,0.7923,92.16,10.85
9522.jpg,28.46,0.7739,92.63,9.63
9538.jpg,26.53,0.6892,89.28,12.02
9539.jpg,24.78,0.6699,77.58,14.71
954.jpg,26.2,0.7105,87.83,12.49
9547.jpg,25.51,0.6888,79.9,13.52
9549.jpg,24.3,0.7017,81.97,15.54
9550.jpg,29.54,0.8184,92.91,8.51
956.jpg,24.92,0.6018,76.26,14.47
9569.jpg,25.83,0.7225,82.28,13.04
9576.jpg,26.0,0.6801,88.35,12.77
958.jpg,26.04,0.6485,82.06,12.73
9580.jpg,26.33,0.7205,85.02,12.3
9581.jpg,26.93,0.7809,87.03,11.48
9587.jpg,29.18,0.8863,93.48,8.86
9588.jpg,28.32,0.8109,91.17,9.78
9601.jpg,26.39,0.8015,85.95,12.22
9603.jpg,22.05,0.6655,75.34,20.14
9612.jpg,23.87,0.7307,83.73,16.33
9615.jpg,26.77,0.7256,87.13,11.69
9620.jpg,27.33,0.6998,86.18,10.97
9623.jpg,25.99,0.7342,86.5,12.8
9624.jpg,24.63,0.7536,84.92,14.96
9631.jpg,29.01,0.7762,92.08,9.04
9660.jpg,19.69,0.7673,79.65,26.43
9666.jpg,27.09,0.8003,88.67,11.28
9669.jpg,26.37,0.7566,86.18,12.25
9671.jpg,24.98,0.6994,77.23,14.37
968.jpg,28.69,0.7839,91.06,9.38
9683.jpg,26.89,0.7334,87.53,11.53
9685.jpg,24.32,0.5705,77.69,15.51
9704.jpg,28.74,0.7479,90.08,9.33
9714.jpg,27.08,0.7317,86.47,11.28
9715.jpg,26.98,0.7092,88.61,11.41
9717.jpg,27.48,0.7398,89.14,10.77
9727.jpg,22.93,0.674,73.12,18.21
9731.jpg,29.84,0.8644,94.97,8.21
9738.jpg,28.59,0.7871,89.97,9.48
975.jpg,30.05,0.8261,93.9,8.02
9753.jpg,28.35,0.7632,89.84,9.75
977.jpg,28.34,0.7293,88.21,9.76
9773.jpg,27.47,0.7337,86.74,10.79
9774.jpg,30.25,0.789,95.99,7.83
9776.jpg,24.84,0.6387,72.64,14.61
9777.jpg,28.66,0.7557,90.25,9.4
9784.jpg,26.81,0.7057,83.6,11.64
9793.jpg,24.51,0.7168,80.72,15.18
9797.jpg,24.27,0.7499,85.85,15.61
98.jpg,27.18,0.7072,88.19,11.15
980.jpg,19.9,0.6374,72.02,25.79
9803.jpg,23.22,0.6057,72.88,17.59
9804.jpg,22.24,0.7281,77.59,19.7
9817.jpg,25.29,0.7176,82.19,13.86
9834.jpg,26.45,0.8322,94.1,12.13
9835.jpg,25.17,0.7029,80.16,14.06
9837.jpg,27.38,0.6972,90.74,10.9
9839.jpg,23.66,0.6837,81.73,16.74
9845.jpg,24.01,0.7097,80.39,16.06
9851.jpg,22.94,0.5624,74.63,18.18
9852.jpg,26.67,0.745,89.45,11.83
9860.jpg,26.94,0.7816,88.22,11.47
9861.jpg,24.71,0.6221,76.74,14.83
987.jpg,28.07,0.7993,92.49,10.07
9874.jpg,24.36,0.618,76.98,15.44
9875.jpg,25.21,0.6657,85.24,14.0
9883.jpg,24.25,0.5891,74.57,15.63
9889.jpg,24.16,0.6553,77.46,15.79
9897.jpg,26.67,0.6607,85.16,11.84
99.jpg,26.38,0.6827,82.67,12.24
9904.jpg,26.22,0.7611,86.82,12.46
9917.jpg,27.38,0.7876,89.87,10.91
9920.jpg,22.51,0.6516,73.63,19.11
9933.jpg,25.4,0.6097,81.91,13.69
9939.jpg,24.92,0.7198,82.18,14.48
9949.jpg,27.52,0.7544,87.74,10.73
9959.jpg,21.74,0.7521,81.46,20.86
9960.jpg,23.17,0.7085,77.77,17.7
9962.jpg,24.08,0.664,77.47,15.95
9963.jpg,20.14,0.5759,71.21,25.09
997.jpg,23.77,0.5993,72.3,16.52
9971.jpg,26.61,0.7643,87.21,11.91
9986.jpg,23.12,0.6643,84.04,17.81
