Image,PSNR (dB),SSIM,Accuracy (%),RMSE
20228.jpg,25.54,0.6492,81.54,13.48
20231.jpg,24.78,0.6292,75.74,14.71
20244.jpg,27.23,0.7299,85.95,11.1
20245.jpg,27.66,0.7645,88.45,10.56
20250.jpg,27.21,0.8451,90.56,11.12
20263.jpg,26.76,0.736,83.58,11.71
20267.jpg,26.17,0.7098,82.47,12.53
2027.jpg,27.75,0.7338,85.21,10.45
20270.jpg,25.32,0.6678,85.59,13.82
2028.jpg,27.87,0.757,88.46,10.3
20291.jpg,25.57,0.7744,86.71,13.43
203.jpg,28.91,0.7611,90.59,9.14
20301.jpg,27.34,0.8265,90.89,10.95
20313.jpg,31.09,0.8503,97.85,7.11
20319.jpg,27.05,0.7601,88.0,11.32
20323.jpg,26.09,0.7255,85.38,12.65
20329.jpg,25.04,0.6522,81.74,14.27
2033.jpg,30.33,0.8601,95.81,7.77
20332.jpg,24.29,0.7035,73.4,15.56
20334.jpg,25.96,0.7161,87.16,12.84
20338.jpg,25.9,0.7333,85.95,12.93
20351.jpg,27.21,0.7247,87.41,11.12
20371.jpg,28.61,0.8292,92.89,9.46
20374.jpg,24.0,0.5854,75.96,16.09
20375.jpg,26.28,0.7145,82.66,12.37
20380.jpg,25.74,0.6975,84.66,13.17
20386.jpg,26.32,0.6787,83.77,12.32
20390.jpg,24.09,0.7621,83.07,15.93
20394.jpg,26.46,0.7374,86.85,12.12
20406.jpg,25.49,0.6553,80.98,13.55
2041.jpg,29.09,0.8217,92.77,8.96
20417.jpg,27.91,0.8153,88.32,10.26
2042.jpg,29.58,0.8146,94.37,8.46
20420.jpg,25.71,0.6708,83.28,13.22
20422.jpg,25.99,0.7825,92.77,12.79
20427.jpg,29.71,0.8033,93.66,8.33
20438.jpg,24.54,0.6282,77.04,15.11
20440.jpg,26.2,0.7229,82.15,12.48
20448.jpg,29.36,0.8347,95.3,8.68
20449.jpg,22.94,0.6707,78.04,18.17
20450.jpg,28.88,0.8185,92.09,9.17
20451.jpg,27.56,0.806,89.52,10.68
20459.jpg,30.58,0.8015,96.51,7.54
20463.jpg,28.49,0.7666,90.59,9.59
20472.jpg,26.95,0.7758,90.91,11.46
20479.jpg,27.35,0.7889,89.8,10.94
